0,1,2,3,4
TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE
SC001Anteater Cart,Mesa Court West,Dorm uplink A,201 m,Housing export preserved the original backbone routing label.
SC002Mesa Cart,Middle Earth Towers,Residential switch B,0.33 km from backbone,Administrative placement log was finalized before spring showcase scoring.
SC003Zot Cart,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.
SC004Bren Cart,Plaza Verde,ACC uplink east,Distance: 827 meters,Student hub was matched to the nearest sync cabinet used by the incubator.
SC005Petr Cart,Arroyo Vista,Greek village relay,0.81 km | fiber hop,Housing export preserved the original backbone routing label.
SC006Ring Cart,Verano Place,Graduate housing switch,"1,100 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.
SC007Blue Cart,Stanford Court,UTC west relay,"1,156 m",Distance field kept the archive unit exactly as shown in the facilities pull.
SC008Gold Cart,Berkeley Court,UTC south relay,1.32 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.
SC009Arc Cart,Mesa Court West,Dorm uplink A,~0.28km,Housing export preserved the original backbone routing label.
SC010Bridge Cart,Middle Earth Towers,Residential switch B,Distance: 428 meters,Administrative placement log was finalized before spring showcase scoring.
SC011Open Cart,Campus Village,Student village relay,0.66 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.
SC012Signal Cart,Plaza Verde,ACC uplink east,718 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.
SC013Anteater Pulse,Arroyo Vista,Greek village relay,873 m,Housing export preserved the original backbone routing label.
SC014Mesa Pulse,Verano Place,Graduate housing switch,1.07 km from backbone,Administrative placement log was finalized before spring showcase scoring.
SC015Zot Pulse,Stanford Court,UTC west relay,~1.13km,Distance field kept the archive unit exactly as shown in the facilities pull.
SC016Bren Pulse,Berkeley Court,UTC south relay,"Distance: 1,454 meters",Student hub was matched to the nearest sync cabinet used by the incubator.
SC017Petr Pulse,Mesa Court West,Dorm uplink A,0.28 km | fiber hop,Housing export preserved the original backbone routing label.
SC018Ring Pulse,Middle Earth Towers,Residential switch B,355 meters (sync route),Administrative placement log was finalized before spring showcase scoring.
SC019Blue Pulse,Campus Village,Student village relay,584 m,Distance field kept the archive unit exactly as shown in the facilities pull.
SC020Gold Pulse,Plaza Verde,ACC uplink east,0.88 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.
SC021Arc Pulse,Arroyo Vista,Greek village relay,~0.89km,Housing export preserved the original backbone routing label.
SC022Bridge Pulse,Verano Place,Graduate housing switch,"Distance: 1,094 meters",Administrative placement log was finalized before spring showcase scoring.
SC023Open Pulse,Stanford Court,UTC west relay,1.26 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.
SC024Signal Pulse,Berkeley Court,UTC south relay,"1,484 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.
SC025Anteater Loop,Mesa Court West,Dorm uplink A,289 m,Housing export preserved the original backbone routing label.
SC026Mesa Loop,Middle Earth Towers,Residential switch B,0.42 km from backbone,Administrative placement log was finalized before spring showcase scoring.
SC027Zot Loop,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.
SC028Bren Loop,Plaza Verde,ACC uplink east,Distance: 710 meters,Student hub was matched to the nearest sync cabinet used by the incubator.
SC029Petr Loop,Arroyo Vista,Greek village relay,0.84 km | fiber hop,Housing export preserved the original backbone routing label.
SC030Ring Loop,Verano Place,Graduate housing switch,952 meters (sync route),Administrative placement log was finalized before spring showcase scoring.
SC031Blue Loop,Stanford Court,UTC west relay,"1,185 m",Distance field kept the archive unit exactly as shown in the facilities pull.
SC032Gold Loop,Berkeley Court,UTC south relay,1.45 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.
SC033Arc Loop,Mesa Court West,Dorm uplink A,~0.31km,Housing export preserved the original backbone routing label.
SC034Bridge Loop,Middle Earth Towers,Residential switch B,Distance: 482 meters,Administrative placement log was finalized before spring showcase scoring.
SC035Open Loop,Campus Village,Student village relay,0.55 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.
SC036Signal Loop,Plaza Verde,ACC uplink east,780 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.
SC037Anteater Market,Arroyo Vista,Greek village relay,859 m,Housing export preserved the original backbone routing label.
SC038Mesa Market,Verano Place,Graduate housing switch,1.03 km from backbone,Administrative placement log was finalized before spring showcase scoring.
