0,1,2,3,4
TEAM_REF,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE
SC001Anteater Cart,Campus Commerce,82.9 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC002Mesa Cart,Creator Tools,Pitch rating = 81.0,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC003Zot Cart,Mobility,92.1 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC004Bren Cart,Campus Commerce,panel avg 89.5,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC005Petr Cart,Creator Tools,80.9 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC006Ring Cart,Mobility,Score: 80.4 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC007Blue Cart,Campus Commerce,85.7 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC008Gold Cart,Creator Tools,Pitch rating = 76.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC009Arc Cart,Mobility,85.5 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC010Bridge Cart,Campus Commerce,panel avg 82.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC011Open Cart,Creator Tools,78.4 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC012Signal Cart,Mobility,Score: 82.4 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC013Anteater Pulse,Campus Commerce,81.9 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC014Mesa Pulse,Creator Tools,Pitch rating = 78.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC015Zot Pulse,Mobility,87.3 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC016Bren Pulse,Campus Commerce,panel avg 77.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC017Petr Pulse,Creator Tools,78.3 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC018Ring Pulse,Mobility,Score: 91.9 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC019Blue Pulse,Campus Commerce,75.4 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC020Gold Pulse,Creator Tools,Pitch rating = 82.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC021Arc Pulse,Mobility,91.3 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC022Bridge Pulse,Campus Commerce,panel avg 83.5,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC023Open Pulse,Creator Tools,78.8 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC024Signal Pulse,Mobility,Score: 85.6 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC025Anteater Loop,Campus Commerce,87.0 / 100,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
